t,y,n
260.0,-0.12867556700415897,3.0
265.0,-0.12300088608301728,3.0
270.0,-0.12488185495895435,3.0
275.0,-0.11970987705226419,3.0
280.0,-0.11643854261698725,3.0
285.0,-0.11263354080495094,3.0
290.0,-0.12280534297603055,3.0
295.0,-0.10330037742762647,3.0
300.0,-0.11010096138916003,3.0
0.0,0.018501718465826846,4.0
5.0,0.010654768552989727,4.0
10.0,0.004957506276690541,4.0
15.0,0.0006731399446177179,4.0
20.0,-0.004379431086703075,4.0
25.0,-0.0029834918110093196,4.0
30.0,0.003708797193633894,4.0
35.0,0.0060564915628231525,4.0
40.0,-0.011947358027875717,4.0
45.0,-0.011868697679532306,4.0
50.0,0.002742363445807262,4.0
55.0,-0.004424222356695017,4.0
60.0,-0.011691584480574975,4.0
62.0,-0.6257202645314559,4.0
65.0,-0.6030362341717653,4.0
70.0,-0.5729919353451127,4.0
75.0,-0.5423624062419322,4.0
80.0,-0.5179469132028314,4.0
85.0,-0.49693863998807236,4.0
90.0,-0.47758674680931584,4.0
95.0,-0.454387929617316,4.0
100.0,-0.4333788445500949,4.0
105.0,-0.4111082778561202,4.0
110.0,-0.39741828727039097,4.0
115.0,-0.38126830485667934,4.0
120.0,-0.36550968471323847,4.0
125.0,-0.3524760121334656,4.0
130.0,-0.3366853060660094,4.0
135.0,-0.32377295921240395,4.0
140.0,-0.31019891065828226,4.0
145.0,-0.2940208629283363,4.0
150.0,-0.27852584774857264,4.0
155.0,-0.2694066887500888,4.0
160.0,-0.2546760470625534,4.0
165.0,-0.24835748190755177,4.0
170.0,-0.22729080449856306,4.0
175.0,-0.22713815054826453,4.0
180.0,-0.21734801674974472,4.0
185.0,-0.2179900781414855,4.0
190.0,-0.1999851560212496,4.0
195.0,-0.19516730297493246,4.0
200.0,-0.18523246030230922,4.0
205.0,-0.17943938102537166,4.0
210.0,-0.1718041148126527,4.0
215.0,-0.1722509397847792,4.0
220.0,-0.15981600308645705,4.0
225.0,-0.15279191680452905,4.0
230.0,-0.14692554756000675,4.0
235.0,-0.14167760523301492,4.0
240.0,-0.1399406075466972,4.0
245.0,-0.1318445791351537,4.0
250.0,-0.1359151476662813,4.0
255.0,-0.1294963397837245,4.0
260.0,-0.12441738167856349,4.0
265.0,-0.1240963007620061,4.0
270.0,-0.11658792903136689,4.0
275.0,-0.11653367032964111,4.0
280.0,-0.11051747663030703,4.0
285.0,-0.10706064357369013,4.0
290.0,-0.10523501794339366,4.0
295.0,-0.09971759750602172,4.0
300.0,-0.10621012532796835,4.0
0.0,0.005382929291408661,5.0
5.0,0.004596167617185588,5.0
10.0,0.0027723764075135247,5.0
15.0,0.0017208761881092978,5.0
20.0,0.0046634693909579005,5.0
25.0,-0.0011027221551683376,5.0
30.0,0.001067508248073983,5.0
35.0,-0.003977362510380393,5.0
40.0,-0.006726707076470955,5.0
45.0,-0.006858819544828434,5.0
50.0,0.0026712677528290055,5.0
55.0,-0.0011170638312187774,5.0
60.0,-0.0030919197780133697,5.0
62.0,-0.6362092989583987,5.0
65.0,-0.6126476180015796,5.0
70.0,-0.5684273648687675,5.0
75.0,-0.5365092405192076,5.0
80.0,-0.5040668004717189,5.0
85.0,-0.47942572373872894,5.0
90.0,-0.4579494672070521,5.0
95.0,-0.4341276221141257,5.0
100.0,-0.41557952587372987,5.0
105.0,-0.39231962295185246,5.0
110.0,-0.3731237672973814,5.0
115.0,-0.3570854768366317,5.0
120.0,-0.3399712471807461,5.0
125.0,-0.32620300402152835,5.0
130.0,-0.3058898245716304,5.0
